,LEAID,avg_change,change_class
0,100002,0.028947368421052624,0
1,100005,0.04337899543378995,0
2,100006,-0.0328532173808014,0
3,100007,0.018830823767516998,0
4,100008,0.03886113093821873,0
5,100009,,0
6,100011,0.024731486715658564,0
7,100012,0.045001246571927195,0
8,100013,-0.0033541618774947223,0
9,100015,,0
10,100019,,0
11,100020,,0
12,100021,,0
13,100022,,0
14,100026,,0
15,100028,,0
16,100030,0.0,0
17,100033,,0
18,100035,,0
19,100036,,0
20,100037,,0
21,100038,,0
22,100039,,0
23,100040,,0
24,100042,,0
25,100043,,0
26,100060,0.08186355369453961,0
27,100090,-0.013406562455992114,0
28,100100,0.037365456472031676,0
29,100120,0.052006232956758866,0
30,100175,,0
31,100176,,0
32,100178,,0
33,100180,0.008607340372046256,0
34,100183,,0
35,100185,0.06245551601423488,0
36,100188,-0.43,-1
37,100189,0.03851453768774976,0
38,100190,0.023224407501806977,0
39,100192,,0
40,100194,0.03880870561282933,0
41,100195,0.06297520661157024,0
42,100197,-0.3733333333333333,-1
43,100197,,0
44,100198,,0
45,100199,,0
46,100201,0.1590909090909091,0
47,100202,0.059470205427081035,0
48,100203,-0.34615384615384615,-1
49,100204,0.28846153846153844,0
50,100207,,0
51,100210,0.04378852398452235,0
52,100211,0.8421052631578947,1
53,100213,,0
54,100240,0.02898196869885157,0
55,100270,0.023876571103198692,0
56,100300,,0
57,100330,-0.023268398268398268,0
58,100360,0.016571903496916313,0
59,100390,-0.04080535180821739,0
60,100420,0.05689278180789216,0
61,100450,-0.05156834532374101,0
62,100480,0.024969733656174335,0
63,100510,0.002525268628638842,0
64,100540,0.036363308248966844,0
65,100600,-0.025696696531633045,0
66,100630,0.009669110362591639,0
67,100660,0.02872221617459108,0
68,100690,0.006483130164817604,0
69,100720,0.02729276955947796,0
70,100750,-0.025096525096525095,0
71,100780,0.06853075855209995,0
72,100810,0.03909399978066073,0
73,100840,0.017245167562935662,0
74,100870,-0.07267197986577181,0
75,100900,0.09852216748768473,0
76,100930,-0.006660108266214946,0
77,100960,0.02661260545767411,0
78,100990,0.02018658197697499,0
79,101020,0.04385403329065301,0
80,101050,0.0,0
81,101080,0.0,0
82,101110,-0.010944150091201251,0
83,101140,0.0,0
84,101170,0.02346629036679086,0
85,101200,-0.00588172766892251,0
86,101230,0.03237219767300442,0
87,101260,,0
88,101290,0.029034690799396683,0
89,101320,0.0060715963544113495,0
90,101350,0.017891878887857853,0
91,101380,0.029476810224404043,0
92,101410,-0.011114552002952565,0
93,101440,-0.4956896551724138,-1
94,101470,0.018777393310265282,0
95,101530,0.03335984921778141,0
96,101560,0.009285714285714286,0
97,101590,0.025714434325789855,0
98,101620,-0.009602282541246314,0
